,Urls,Thumbs,Title,Views,Time
15,https://youtube.com/watch?v=60_B3haKADw,https://i.ytimg.com/vi/60_B3haKADw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA9baY1YtDSZafi5-Ej4K4ehDrL_A,Complete 𝗠𝗘𝗧𝗔𝗟𝗦 & 𝗡𝗢𝗡 𝗠𝗘𝗧𝗔𝗟𝗦  in 120 Minutes | Class 10th Board Exam,"26,292",1 month ago
16,https://youtube.com/watch?v=46CNHP9wBAs,https://i.ytimg.com/vi/46CNHP9wBAs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBjvT3nT1waDnGZ0G3r-csPJeQF9w,"Complete 𝗔𝗖𝗜𝗗, 𝗕𝗔𝗦𝗘𝗦 𝗔𝗡𝗗 𝗦𝗔𝗟𝗧 in 110 Minutes | Class 10th Board Exam","23,553",1 month ago
17,https://youtube.com/watch?v=1Wk5gJtZ2sQ,https://i.ytimg.com/vi/1Wk5gJtZ2sQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB3qe5Gqbz5v_KD1pUUfRWeb60VHQ,Complete 𝗖𝗛𝗘𝗠𝗜𝗖𝗔𝗟 𝗥𝗘𝗔𝗖𝗧𝗜𝗢𝗡  in 90 Minutes | Class 10th Board Exam,"40,186",1 month ago
18,https://youtube.com/watch?v=iM_hVnElC-Q,https://i.ytimg.com/vi/iM_hVnElC-Q/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBLOHeUia6L1Ui7ad9_DkhIAUwI7A,Complete 𝐇𝐄𝐑𝐄𝐃𝐈𝐓𝐘 𝐀𝐍𝐃 𝐄𝐕𝐎𝐋𝐔𝐓𝐈𝐎𝐍 in 2 Hours|| Class 10th Board Exam,"68,052",1 month ago
19,https://youtube.com/watch?v=Prly9d7LoAQ,https://i.ytimg.com/vi/Prly9d7LoAQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBIzYvUsJx3fu9nvhvEUNn1RR8iUg,Complete 𝗛𝗢𝗪 𝗗𝗢 𝗢𝗥𝗚𝗔𝗡𝗜𝗦𝗠𝗦 𝗥𝗘𝗣𝗥𝗢𝗗𝗨𝗖𝗘 in 1 Hours 50 Minutes|| Class 10th Board Exam,"29,186",1 month ago
20,https://youtube.com/watch?v=AvwBDiCWSEM,https://i.ytimg.com/vi/AvwBDiCWSEM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDMpZ0M1O---QujzviCqa_O_uybxQ,Complete 𝗢𝗨𝗥 𝗘𝗡𝗩𝗜𝗥𝗢𝗡𝗠𝗘𝗡𝗧 in 1 Hour 30 Minutes | Class 10th Board Exam,"45,397",1 month ago
21,https://youtube.com/watch?v=jQzKkMEaWFA,https://i.ytimg.com/vi/jQzKkMEaWFA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCAK--SsFJUusIA5UXD_ZnnAXmKJQ,Complete 𝗖𝗼𝗻𝘁𝗿𝗼𝗹 𝗮𝗻𝗱 𝗖𝗼𝗼𝗿𝗱𝗶𝗻𝗮𝘁𝗶𝗼𝗻 in 1 Hours 50 Minutes | Class 10th Board Exam,"33,674",1 month ago
22,https://youtube.com/watch?v=6weIshsiLlM,https://i.ytimg.com/vi/6weIshsiLlM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCXsXMd4lSxXNbqWSwbdIL5qYQktw,Complete 𝗟𝗶𝗳𝗲 𝗣𝗿𝗼𝗰𝗲𝘀𝘀𝗲𝘀 in 2 Hours 58 Minutes | Class 10th Board Exam,"80,748",1 month ago
23,https://youtube.com/watch?v=-osuIPJkPWg,https://i.ytimg.com/vi/-osuIPJkPWg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAIzE3_yVozBODRCJvZ4Qg29v3UuA,Complete 𝗠𝗮𝗴𝗻𝗲𝘁𝗶𝗰 𝗘𝗳𝗳𝗲𝗰𝘁 𝗼𝗳 𝗘𝗹𝗲𝗰𝘁𝗿𝗶𝗰 𝗖𝘂𝗿𝗿𝗲𝗻𝘁 in 2 Hours 15 Minutes | Class 10th Board Exam,"51,595",1 month ago
24,https://youtube.com/watch?v=VsKb_U2-Cx0,https://i.ytimg.com/vi/VsKb_U2-Cx0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBVtsaBL6O32XQx_7Qi-wdGfjn_iA,Complete 𝗛𝘂𝗺𝗮𝗻 𝗘𝘆𝗲 & 𝗧𝗵𝗲 𝗖𝗼𝗹𝗼𝘂𝗿𝗳𝘂𝗹 𝗪𝗼𝗿𝗹𝗱 in 2 Hours 24 Minutes | Class 10th Board Exam,"27,363",1 month ago
25,https://youtube.com/watch?v=ZNHlCezYN1I,https://i.ytimg.com/vi/ZNHlCezYN1I/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBCFqdlLDBC2Kkf3zEF-LK5TNEwkw,Complete 𝗘𝗹𝗲𝗰𝘁𝗿𝗶𝗰𝗶𝘁𝘆 in 2 Hours 4 Minutes  | Class 10th Board Exam,"88,501",1 month ago
26,https://youtube.com/watch?v=nNmV-fuGW5c,https://i.ytimg.com/vi/nNmV-fuGW5c/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBjSM8jHxXjo8skRTMryGUJsisS9w,Complete 𝗟𝗜𝗚𝗛𝗧 in 3 Hours 49 Minutes | Class 10th Board Exam,"82,889",1 month ago
27,https://youtube.com/watch?v=6Mht7UigC_w,https://i.ytimg.com/vi/6Mht7UigC_w/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBHz1uk4Eqa1RW0V9RSoeH8xYtUPA,NEW Batches for Class 10 & 9 - Session 2023-24 || NEEV and UDAAN Batch Launch 🚀,"135,010",1 month ago
28,https://youtube.com/watch?v=WObRrneLVRY,https://i.ytimg.com/vi/WObRrneLVRY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCqLiupYz7LnumRPGXvHnYf4ncbrQ,आपको Commerce में क्या सीखने को मिलता है ?? Complete Information,"15,343",1 month ago
29,https://youtube.com/watch?v=nX5ONgCdLcc,https://i.ytimg.com/vi/nX5ONgCdLcc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBaa_KLfKyYbUYRsb5xf0YCp1YrlQ,How to Attempt English Board Exam ????,"190,036",1 month ago
30,https://youtube.com/watch?v=AM2Dt7cNebw,https://i.ytimg.com/vi/AM2Dt7cNebw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBJHWHabeJ94dcUDlDDNfvQxnUfJg,Best technique to attempt SST paper in Board exam || Class 10th,"97,675",1 month ago
31,https://youtube.com/watch?v=7nMJVhey9TM,https://i.ytimg.com/vi/7nMJVhey9TM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDHikOj7gH4eQNudv7c1qNbwcMWyA,Last Minute Strategy To Score More Than 98% || ICSE Boards || Class-10th,"26,429",1 month ago
32,https://youtube.com/watch?v=FSVVlcFUCMk,https://i.ytimg.com/vi/FSVVlcFUCMk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAadJS9mLtZptLHtKHEefPgqk3NCg,Why You Should Choose Commerce After 10th? || Complete Information💯,"77,380",1 month ago
33,https://youtube.com/watch?v=vKxdTuOirnI,https://i.ytimg.com/vi/vKxdTuOirnI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBonfyIr0oe5WzFo2o2hoU5Yxbv8w,Follow This Plan To Score More Than 95% in Boards || Topper's Strategy,"373,330",1 month ago
34,https://youtube.com/watch?v=hC86u4g6QPk,https://i.ytimg.com/vi/hC86u4g6QPk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD5AeHXmdOF3J-FoFIAYtmfh28ciQ,Everything About COMMERCE Stream !! Which Stream to Choose After Class 10th?,"35,848",1 month ago
35,https://youtube.com/watch?v=7O5MY8Y1JCE,https://i.ytimg.com/vi/7O5MY8Y1JCE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBH2cIH3mp1fEKJja5KVXiwRP3p4w,How to Attempt Maths Board Exam || Last Minute Strategy || Class-10th Boards,"392,082",2 months ago
36,https://youtube.com/watch?v=01iTPgZGjvM,https://i.ytimg.com/vi/01iTPgZGjvM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCQovRQnmXciwx7jzgAzqrj3UCdQg,STATISTICS - MOST Important Questions || Class-10th,"90,687",2 months ago
37,https://youtube.com/watch?v=pXjLbNAa_ag,https://i.ytimg.com/vi/pXjLbNAa_ag/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCen1qfPg4ypFCiezVWQrqIpEEbug,SURFACE AREA & VOLUMES - MOST Important Questions || Class-10th,"98,770",2 months ago
38,https://youtube.com/watch?v=-abURVi907g,https://i.ytimg.com/vi/-abURVi907g/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCPJmTEEnsF3GekS0rakIpFVNDx2A,DOUBLE THEME - LONG QUESTIONS - Most Important Questions || Class-10th,"93,292",2 months ago
39,https://youtube.com/watch?v=LAsPxV5xZ58,https://i.ytimg.com/vi/LAsPxV5xZ58/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLATnaGioDraDOqE9BfdzyeJEXwEhw,REPORTED SPEECH in 30 Minutes || Mind Map Series for Class 10th,"90,269",2 months ago
40,https://youtube.com/watch?v=-Z-lZKDIW4w,https://i.ytimg.com/vi/-Z-lZKDIW4w/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAhvYXt8vsHWAyXB03Xsoj9605a9w,CIRCLES - MOST Important Questions || Class-10th,"90,459",2 months ago
41,https://youtube.com/watch?v=Gqza6yHk1Ks,https://i.ytimg.com/vi/Gqza6yHk1Ks/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCcTgj1CmaUtJlznrvFFJAZeluxQg,THE BEGGAR  in One Shot - From Zero to Hero || Class 9th,"56,586",2 months ago
42,https://youtube.com/watch?v=BdBQ2yfCW1g,https://i.ytimg.com/vi/BdBQ2yfCW1g/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD5K5aTCLbaoXAeRQvFJmzWzP7Zyw,"FOG, FOR ANNE GREGORY || Hindi Summary in 30 Minutes || Class 10th","66,126",2 months ago
43,https://youtube.com/watch?v=Mdn3H8V-lKs,https://i.ytimg.com/vi/Mdn3H8V-lKs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAQdid48ySqnrqboQ3DQWyyT9DXgQ,REPORTED SPEECH in One Shot - From Zero to Hero || Class 9th,"83,422",2 months ago
44,https://youtube.com/watch?v=FKX5gq9L8do,https://i.ytimg.com/vi/FKX5gq9L8do/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLANrFR4ijSgORVIVl5xqKhxqRMiFg,How to Write Effective Answers in Exams?! || Strategy Wallah || PW Foundation,"134,443",2 months ago
45,https://youtube.com/watch?v=5-h-Td7ScFA,https://i.ytimg.com/vi/5-h-Td7ScFA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDXFAsLHg-QIa-d9FLBv7gVWZ8vxQ,REPORTED SPEECH - MOST Important Questions || Class-10th,"69,228",2 months ago
46,https://youtube.com/watch?v=Q2tChfJPJ2I,https://i.ytimg.com/vi/Q2tChfJPJ2I/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA2KuWhw2g5ShIzdsjuxAmBN6qMkw,POPULATION in One Shot - From Zero to Hero || Class 9th,"53,480",2 months ago
47,https://youtube.com/watch?v=ZdyGE7nwItI,https://i.ytimg.com/vi/ZdyGE7nwItI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBhZJ3imOSJhmg15nJBezmqvVQUAg,FOR ANNE GREGORY - MOST Important Questions || Class-10th,"19,181",2 months ago
48,https://youtube.com/watch?v=Q3TjSP8zxec,https://i.ytimg.com/vi/Q3TjSP8zxec/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAEdNGw_Y6TuoQxLR-6fER-J-S_uw,IF I WERE YOU + A HOUSE IS NOT A HOME in One Shot - From Zero to Hero || Class 9th,"64,390",2 months ago
49,https://youtube.com/watch?v=32d-4jFB8QM,https://i.ytimg.com/vi/32d-4jFB8QM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAIJhshsCTNA8yY7HZFL_hzN3phig,NATURAL VEGETATION in One Shot - From Zero to Hero || Class 9th,"40,717",2 months ago
50,https://youtube.com/watch?v=9_u4xsh-2eg,https://i.ytimg.com/vi/9_u4xsh-2eg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC5emAWC7TRNCLZio1VNfRv2J_aRA,THE BOOK THAT SAVED EARTH || Hindi Summary in 30 Minutes || Class 10th,"113,456",2 months ago
51,https://youtube.com/watch?v=9XZVFyy2jpU,https://i.ytimg.com/vi/9XZVFyy2jpU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBwsH7bO6UyAlIEt-r_9Y16h9Z9mg,DEMOCRATIC RIGHTS in One Shot - From Zero to Hero || Class 9th,"67,141",2 months ago
52,https://youtube.com/watch?v=TpKrjb2fNN4,https://i.ytimg.com/vi/TpKrjb2fNN4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC3LWneq4iVTIfYSYoRt_ACuEBSgA,FOG  - MOST Important Questions || Class-10th,"15,542",2 months ago
53,https://youtube.com/watch?v=DOuWHj_kZVc,https://i.ytimg.com/vi/DOuWHj_kZVc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCEA-igH3qzMfkJDBJOFlGXtDfraA,A SLUMBER DID MY SPIRIT SEAL in One Shot - From Zero to Hero || Class 9th,"30,654",2 months ago
54,https://youtube.com/watch?v=-nnNhzhV9QI,https://i.ytimg.com/vi/-nnNhzhV9QI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA7GS3OMO-V50hdzyWSe6N5qsraWA,PASTORALISTS IN THE MODERN WORLD in One Shot - From Zero to Hero || Class 9th,"107,659",2 months ago
55,https://youtube.com/watch?v=_fImK5teeBo,https://i.ytimg.com/vi/_fImK5teeBo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCY4MIMhYa3RzC2xzdq9-gHZTnl_w,THE BOOK THAT SAVED EARTH - Most Important Questions || Class-10th,"32,682",2 months ago
56,https://youtube.com/watch?v=XW_PRHcHpsk,https://i.ytimg.com/vi/XW_PRHcHpsk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA87EYhnt_YAIchK91LFPvYHTEuww,THE PROPOSAL || Hindi Summary in 30 Minutes || Class 10th,"70,083",2 months ago
57,https://youtube.com/watch?v=33hoxZTMheU,https://i.ytimg.com/vi/33hoxZTMheU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDmp-f__iFj3-4dWzyJ4gRrQwT8xQ,KATHMANDU + THE LAST LEAF in One Shot - From Zero to Hero || Class 9th,"58,524",2 months ago
58,https://youtube.com/watch?v=nKB_IcmgHJY,https://i.ytimg.com/vi/nKB_IcmgHJY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCA2zLLkl3Amywi2QAmda4lFsgMvg,THE PROPOSAL - MOST Important Questions || Class-10th,"29,547",2 months ago
59,https://youtube.com/watch?v=cgvyRDxjJ0g,https://i.ytimg.com/vi/cgvyRDxjJ0g/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDFYnq5XFGF-uWcbwL_r7KmhZrX0w,Biggest Revolution In Education 🔥🔥 #PWShikshaKiKranti,"53,273",2 months ago
60,https://youtube.com/watch?v=DxEGgEpng04,https://i.ytimg.com/vi/DxEGgEpng04/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDBnPbsC6LQIq6pZrqVk0TklvoKvw,PROBABILITY - MOST Important Questions || Class-10th,"85,922",2 months ago
61,https://youtube.com/watch?v=jAip7E1U8P0,https://i.ytimg.com/vi/jAip7E1U8P0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB24qUu-8afcLnLa-6FR_DoXrJcOg,BHOLI -Most Important Questions || Class-10th,"27,906",2 months ago
62,https://youtube.com/watch?v=36m_I-iEclY,https://i.ytimg.com/vi/36m_I-iEclY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDEBle3ttP0X6CQaKzbOxpkrLDH7Q,BHOLI || Hindi Summary in 30 Minutes || Class 10th,"54,145",2 months ago
63,https://youtube.com/watch?v=AuUd_yR3PAw,https://i.ytimg.com/vi/AuUd_yR3PAw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAFaW6RGI4NQVPjdLN5XQDrpaG7Mw,DESCRIPTIVE PARAGRAPH + DIARY ENTRY in One Shot - From Zero to Hero || Class 9th,"45,300",2 months ago
64,https://youtube.com/watch?v=mtHeZ0t5zZ0,https://i.ytimg.com/vi/mtHeZ0t5zZ0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA4IkcCYPS1NWNdZdnhpzhdq6OSYw,THE SERMON AT BENARES | Hindi Summary in 30 Minutes | Class 10th,"43,269",2 months ago
65,https://youtube.com/watch?v=QeQ1CtvAt5U,https://i.ytimg.com/vi/QeQ1CtvAt5U/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCbfxCOTs_bWg-ObULAon-eKpuPPg,THE SERMON AT BENARES - Most Important Questions | Class-10th,"17,691",2 months ago
66,https://youtube.com/watch?v=hQKCUERfEL8,https://i.ytimg.com/vi/hQKCUERfEL8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAP5kAci6Mu1H9Ezm1vpMdSaYfqUw,LIFELINES  OF NATIONAL ECONOMY - Most Important Questions | Class-10th,"24,075",2 months ago
67,https://youtube.com/watch?v=xASm_pfKRzQ,https://i.ytimg.com/vi/xASm_pfKRzQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCgQRndvXWCZampl0fMXdAbgxf-EQ,STATISTICS in One Shot - From Zero to Hero | Class 9th,"60,873",2 months ago
